Dept_Name,Expense_Class,Object_Expenditure,Approp_Type,2024_Actual_New_General,2024_Actual_Automatic,2024_Actual_Total,2025_Program_New_General,2025_Program_Automatic,2025_Program_Total,2026_GAA_New_General,2026_GAA_Automatic,2026_GAA_Total,Page_No
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,32679280,0,32679280,21382430,0,21382430,25644142,0,25644142,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,73231,0,73231,57649,0,57649,66173,0,66173,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Labor and Wages,None,95,0,95,30,0,30,150,0,150,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,44486,0,44486,43120,0,43120,42914,0,42914,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Advertising Expenses,None,10065,0,10065,14831,0,14831,19874,0,19874,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Printing and Publication Expenses,None,57218,0,57218,68867,0,68867,40995,0,40995,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Representation Expenses,None,210109,0,210109,106116,21,106137,142097,0,142097,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,3669,0,3669,20718,0,20718,15868,0,15868,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Rent/Lease Expenses,None,494016,0,494016,647806,0,647806,625845,0,625845,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,321,0,321,1640,0,1640,3167,0,3167,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Subscription Expenses,None,73640,0,73640,223859,0,223859,186753,0,186753,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Donations,None,3,0,3,0,0,0,5,0,5,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Bank Transaction Fee,None,56,0,56,16,0,16,14,0,14,51
Department of Labor and Employment (DOLE),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,111178,0,111178,809827,0,809827,209194,0,209194,51
Department of Labor and Employment (DOLE),Capital Outlays,Buildings and Other Structures,None,349948,0,349948,1990000,0,1990000,229530,0,229530,52
Department of Labor and Employment (DOLE),Capital Outlays,Machinery and Equipment Outlay,None,802575,0,802575,1473491,0,1473491,446022,0,446022,52
Department of Labor and Employment (DOLE),Capital Outlays,Transportation Equipment Outlay,None,118946,0,118946,124919,0,124919,171384,0,171384,52
Department of Labor and Employment (DOLE),Capital Outlays,Furniture Fixtures and Books Outlay,None,0,0,0,0,0,0,150,0,150,52
Department of Labor and Employment (DOLE),Capital Outlays,Other Property Plant and Equipment Outlay,None,72,0,72,11860,0,11860,2033,0,2033,52
Department of Labor and Employment (DOLE),Capital Outlays,Intangible Assets Outlay,None,14595,0,14595,52450,0,52450,57998,0,57998,52
Department of Migrant Workers (DMW),Salaries and other Lump-sums,Basic Salary,None,923056,0,923056,729891,0,729891,1203007,0,1203007,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Personnel Economic Relief Allowance,None,26502,0,26502,26280,0,26280,41232,0,41232,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Representation Allowance,None,19118,0,19118,12372,0,12372,17454,0,17454,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Transportation Allowance,None,14081,0,14081,12372,0,12372,17454,0,17454,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Clothing and Uniform Allowance,None,7913,0,7913,7665,0,7665,12026,0,12026,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Honoraria,None,7504,0,7504,8482,0,8482,10882,0,10882,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Overtime Pay,None,7070,0,7070,0,0,0,0,0,0,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Year End Bonus,None,79070,0,79070,60826,0,60826,100246,0,100246,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Mid-Year Bonus Civilian,None,62593,0,62593,60826,0,60826,100246,0,100246,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Cash Gift,None,7183,0,7183,5475,0,5475,8590,0,8590,52
Department of Migrant Workers (DMW),Other Compensation Common to All,Per Diems,None,73,0,73,924,0,924,1176,0,1176,52
Department of Migrant Workers (DMW),Other Compensation for Specific Groups,Magna Carta for Science & Technology Personnel,None,821,0,821,684,0,684,776,0,776,53
Department of Migrant Workers (DMW),Other Compensation for Specific Groups,Overseas Allowance,None,1148056,0,1148056,1345816,0,1345816,1823338,0,1823338,53
Department of Migrant Workers (DMW),Other Compensation for Specific Groups,Other Personnel Benefits,None,40381,0,40381,0,0,0,0,0,0,53
Department of Migrant Workers (DMW),Other Compensation for Specific Groups,Special Counsel Allowance,None,1292,0,1292,0,0,0,1920,0,1920,53
Department of Migrant Workers (DMW),Other Benefits,Retirement and Life Insurance Premiums,None,0,87025,87025,0,87587,87587,0,144362,144362,53
Department of Migrant Workers (DMW),Other Benefits,PAG-IBIG Contributions,None,2710,0,2710,2629,0,2629,4117,0,4117,53
Department of Migrant Workers (DMW),Other Benefits,PhilHealth Contributions,None,18880,0,18880,17327,0,17327,28150,0,28150,53
Department of Migrant Workers (DMW),Other Benefits,Employees Compensation Insurance Premiums,None,1438,0,1438,1316,0,1316,2057,0,2057,53
Department of Migrant Workers (DMW),Other Benefits,Terminal Leave,None,39346,0,39346,55420,0,55420,46999,0,46999,53
Department of Migrant Workers (DMW),Other Benefits,Loyalty Award Civilian,None,1060,0,1060,455,0,455,355,0,355,53
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Travelling Expenses,None,771161,0,771161,647246,0,647246,896702,0,896702,53
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,40514,0,40514,38302,0,38302,118018,0,118018,53
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,325532,0,325532,433677,225500,659177,1102450,231000,1333450,53
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Utility Expenses,None,92562,0,92562,88737,0,88737,165050,0,165050,53
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Communication Expenses,None,63855,0,63855,89515,0,89515,141953,0,141953,53
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Professional Services,None,410899,0,410899,310080,132775,442855,543556,98910,642466,53
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,General Services,None,1000800,0,1000800,728327,0,728327,813987,0,813987,53
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Repairs and Maintenance,None,56652,0,56652,78124,0,78124,67679,0,67679,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,1361969,0,1361969,1268710,0,1268710,2063555,0,2063555,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,74308,0,74308,24599,0,24599,40329,0,40329,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Bank Charges,None,726,0,726,0,0,0,0,0,0,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,5688,0,5688,6095,0,6095,7389,0,7389,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Advertising Expenses,None,1665,0,1665,7884,0,7884,2627,0,2627,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Printing and Publication Expenses,None,1840,0,1840,12310,0,12310,5304,0,5304,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Representation Expenses,None,54766,0,54766,39245,0,39245,114540,0,114540,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,18578,0,18578,6989,0,6989,5970,0,5970,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Rent/Lease Expenses,None,463983,0,463983,641957,222319,864276,634335,250684,885019,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,0,0,0,120,0,120,120,0,120,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Subscription Expenses,None,18420,0,18420,45047,0,45047,88151,0,88151,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Bank Transaction Fee,None,11145,0,11145,12137,0,12137,23980,0,23980,54
Department of Migrant Workers (DMW),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,657062,0,657062,882844,0,882844,121101,0,121101,54
Department of Migrant Workers (DMW),Capital Outlays,Land Outlay,None,1415967,0,1415967,0,0,0,0,0,0,54
Department of Migrant Workers (DMW),Capital Outlays,Buildings and Other Structures,None,598559,0,598559,5000,0,5000,242954,0,242954,54
Department of Migrant Workers (DMW),Capital Outlays,Machinery and Equipment Outlay,None,261773,0,261773,336264,0,336264,328533,0,328533,54
Department of Migrant Workers (DMW),Capital Outlays,Transportation Equipment Outlay,None,190148,0,190148,17100,0,17100,52904,0,52904,54
Department of Migrant Workers (DMW),Capital Outlays,Furniture Fixtures and Books Outlay,None,14246,0,14246,0,0,0,1774,0,1774,54
Department of National Defense (DND),Salaries and other Lump-sums,Basic Salary,None,3705312,0,3705312,3500431,0,3500431,4115868,0,4115868,55
Department of National Defense (DND),Other Compensation Common to All,Personnel Economic Relief Allowance,None,242448,0,242448,238080,0,238080,239952,0,239952,55
Department of National Defense (DND),Other Compensation Common to All,Representation Allowance,None,13800,0,13800,12072,0,12072,13044,0,13044,55
Department of National Defense (DND),Other Compensation Common to All,Transportation Allowance,None,9584,0,9584,12072,0,12072,13044,0,13044,55
Department of National Defense (DND),Other Compensation Common to All,Clothing and Uniform Allowance,None,72393,0,72393,69447,0,69447,69993,0,69993,55
Department of National Defense (DND),Other Compensation Common to All,Honoraria,None,5184,0,5184,7902,0,7902,10452,0,10452,55
Department of National Defense (DND),Other Compensation Common to All,Year End Bonus,None,298039,0,298039,291703,0,291703,342988,0,342988,55
Department of National Defense (DND),Other Compensation Common to All,Mid-Year Bonus Civilian,None,293362,0,293362,291703,0,291703,342988,0,342988,55
Department of National Defense (DND),Other Compensation Common to All,Cash Gift,None,49441,0,49441,49605,0,49605,49995,0,49995,55
Department of National Defense (DND),Other Compensation Common to All,Productivity Enhancement Incentive,None,49771,0,49771,49605,0,49605,49995,0,49995,55
Department of National Defense (DND),Other Compensation Common to All,Step Increment,None,0,0,0,8748,0,8748,10287,0,10287,55
Department of National Defense (DND),Other Compensation Common to All,Performance Based Bonus,None,158116,0,158116,0,0,0,0,0,0,55
Department of National Defense (DND),Other Compensation Common to All,Collective Negotiation Agreement,None,83136,0,83136,0,0,0,0,0,0,55
Department of National Defense (DND),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,373823,0,373823,338875,0,338875,338875,0,338875,55
Department of National Defense (DND),Other Compensation for Specific Groups,Magna Carta for Science & Technology Personnel,None,46184,0,46184,68793,0,68793,68793,0,68793,55
Department of National Defense (DND),Other Compensation for Specific Groups,Quarters Allowance,None,839,0,839,1347,0,1347,1347,0,1347,55
Department of National Defense (DND),Other Compensation for Specific Groups,Overseas Allowance,None,0,0,0,5251,0,5251,5251,0,5251,55
Department of National Defense (DND),Other Compensation for Specific Groups,Hazard Duty Pay,None,3365,0,3365,0,0,0,0,0,0,55
Department of National Defense (DND),Other Compensation for Specific Groups,Longevity Pay,None,10898,0,10898,13033,0,13033,13033,0,13033,55
Department of National Defense (DND),Other Compensation for Specific Groups,Night Shift Differential Pay,None,7488,0,7488,9743,0,9743,9743,0,9743,55
Department of National Defense (DND),Other Compensation for Specific Groups,Lump-sum for filling of Positions Civilian,None,0,0,0,324535,0,324535,324535,0,324535,55
Department of National Defense (DND),Other Compensation for Specific Groups,Other Personnel Benefits,None,5415786,0,5415786,0,0,0,0,0,0,55
Department of National Defense (DND),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,3852,0,3852,10668,0,10668,1749,0,1749,55
Department of National Defense (DND),Other Compensation for Specific Groups,Special Counsel Allowance,None,1105,0,1105,0,0,0,0,0,0,55
Department of National Defense (DND),Other Benefits,Retirement and Life Insurance Premiums,None,0,440317,440317,0,420052,420052,0,493902,493902,56
Department of National Defense (DND),Other Benefits,PAG-IBIG Contributions,None,20128,0,20128,23810,0,23810,24000,0,24000,56
Department of National Defense (DND),Other Benefits,PhilHealth Contributions,None,86439,0,86439,86735,0,86735,101423,0,101423,56
Department of National Defense (DND),Other Benefits,Employees Compensation Insurance Premiums,None,11886,0,11886,11908,0,11908,11999,0,11999,56
Department of National Defense (DND),Other Benefits,Retirement Gratuity,None,53129,0,53129,0,0,0,0,0,0,56
Department of National Defense (DND),Other Benefits,Terminal Leave,None,1646193,0,1646193,82795,0,82795,99735,0,99735,56
Department of National Defense (DND),Other Benefits,Loyalty Award Civilian,None,9939,0,9939,10052,0,10052,5933,0,5933,56
Department of National Defense (DND),Permanent Positions,Base Pay,None,66505846,0,66505846,67017039,0,67017039,67927840,0,67927840,56
Department of National Defense (DND),Permanent Positions,Creation of New Positions,None,0,0,0,718615,0,718615,849641,0,849641,56
Department of National Defense (DND),Other Compensation Common to All,Personnel Economic Relief Allowance,None,3925216,0,3925216,3924236,0,3924236,3985364,0,3985364,56
Department of National Defense (DND),Other Compensation Common to All,Clothing/ Uniform Allowance,None,4727491,0,4727491,4986107,0,4986107,5469328,0,5469328,56
Department of National Defense (DND),Other Compensation Common to All,Subsistence Allowance,None,13006299,0,13006299,29824016,0,29824016,30119889,0,30119889,56
Department of National Defense (DND),Other Compensation Common to All,Laundry Allowance,None,63416,0,63416,71036,0,71036,72446,0,72446,56
Department of National Defense (DND),Other Compensation Common to All,Quarters Allowance,None,853528,0,853528,875335,0,875335,884732,0,884732,56
Department of National Defense (DND),Other Compensation Common to All,Longevity Pay,None,12889957,0,12889957,16657411,0,16657411,17094683,0,17094683,56
Department of National Defense (DND),Other Compensation Common to All,Year-end Bonus,None,5486518,0,5486518,5584756,0,5584756,5660903,0,5660903,56
Department of National Defense (DND),Other Compensation Common to All,Mid-Year Bonus Military/Uniformed Personnel,None,5452028,0,5452028,5584756,0,5584756,5660903,0,5660903,56
Department of National Defense (DND),Other Compensation Common to All,Cash Gift,None,822922,0,822922,817445,0,817445,830215,0,830215,56
Department of National Defense (DND),Other Compensation Common to All,Productivity Enhancement Incentive,None,821527,0,821527,817445,0,817445,830215,0,830215,56
Department of National Defense (DND),Other Compensation Common to All,Performance Based Bonus,None,936414,0,936414,0,0,0,0,0,0,56
Department of National Defense (DND),Other Compensation for Specific Groups,Hazardous Duty Pay,None,980728,0,980728,2729252,0,2729252,2830007,0,2830007,57
Department of National Defense (DND),Other Compensation for Specific Groups,Special Duty Allowance,None,78613,0,78613,78612,0,78612,96773,0,96773,57
Department of National Defense (DND),Other Compensation for Specific Groups,Flying Pay,None,996496,0,996496,984101,0,984101,1047582,0,1047582,57
Department of National Defense (DND),Other Compensation for Specific Groups,Sea Duty Pay,None,325347,0,325347,633725,0,633725,673915,0,673915,57
Department of National Defense (DND),Other Compensation for Specific Groups,Overseas Allowance,None,371067,0,371067,361636,0,361636,394535,0,394535,57
Department of National Defense (DND),Other Compensation for Specific Groups,Combat Incentive Pay,None,10000,0,10000,10000,0,10000,10000,0,10000,57
Department of National Defense (DND),Other Compensation for Specific Groups,Hazard Duty Pay,None,1060108,0,1060108,1062674,0,1062674,1075965,0,1075965,57
Department of National Defense (DND),Other Compensation for Specific Groups,Hardship Allowance,None,42551,0,42551,325154,0,325154,332835,0,332835,57
Department of National Defense (DND),Other Compensation for Specific Groups,Combat Duty Pay,None,4306655,0,4306655,3766500,0,3766500,3786516,0,3786516,57
Department of National Defense (DND),Other Compensation for Specific Groups,Incentive Pay,None,54137,0,54137,57593,0,57593,57593,0,57593,57
Department of National Defense (DND),Other Compensation for Specific Groups,Instructor's Duty Pay,None,503395,0,503395,540523,0,540523,540523,0,540523,57
Department of National Defense (DND),Other Compensation for Specific Groups,Reservist's Pay,None,617080,0,617080,618450,0,618450,618450,0,618450,57
Department of National Defense (DND),Other Compensation for Specific Groups,Medal of Valor Award,None,41025,0,41025,49500,0,49500,49500,0,49500,57
Department of National Defense (DND),Other Compensation for Specific Groups,Hospitalization Expenses,None,63496,0,63496,0,0,0,0,0,0,57
Department of National Defense (DND),Other Compensation for Specific Groups,Specialist's Pay,None,2603,0,2603,2908,0,2908,2908,0,2908,57
Department of National Defense (DND),Other Compensation for Specific Groups,Parachutist Pay,None,336556,0,336556,681769,0,681769,681769,0,681769,57
Department of National Defense (DND),Other Compensation for Specific Groups,/Uniformed Personnel (MUP),None,0,0,0,3584950,0,3584950,3501580,0,3501580,57
Department of National Defense (DND),Other Compensation for Specific Groups,Anniversary Bonus Military/Uniformed Personnel,None,801,0,801,4323,0,4323,768,0,768,57
Department of National Defense (DND),Other Benefits,Special Group Term Insurance,None,11864,0,11864,11770,0,11770,12816,0,12816,57
Department of National Defense (DND),Other Benefits,PAG-IBIG Contributions,None,367131,0,367131,254600,0,254600,261636,0,261636,57
Department of National Defense (DND),Other Benefits,Pension Military/Uniformed Personnel,None,56651365,0,56651365,0,0,0,0,0,0,57
Department of National Defense (DND),Other Benefits,Pension Veterans,None,10390876,0,10390876,0,0,0,0,0,0,57
Department of National Defense (DND),Other Benefits,PhilHealth Contributions,None,1625440,0,1625440,1533856,0,1533856,1545827,0,1545827,57
Department of National Defense (DND),Other Benefits,Employees Compensation Insurance Premiums,None,174452,0,174452,196188,0,196188,199252,0,199252,57
Department of National Defense (DND),Other Benefits,Retirement Gratuity,None,4552016,0,4552016,2118714,0,2118714,1321528,0,1321528,57
Department of National Defense (DND),Other Benefits,Terminal Leave,None,10021498,0,10021498,1472970,0,1472970,2473382,0,2473382,57
Department of National Defense (DND),Maintenance and Other Operating Services,Travelling Expenses,None,1561792,0,1561792,1773590,0,1773590,2296729,0,2296729,58
Department of National Defense (DND),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,1528217,0,1528217,1963160,0,1963160,2173516,0,2173516,58
Department of National Defense (DND),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,26370754,0,26370754,33673877,0,33673877,41732542,0,41732542,58
Department of National Defense (DND),Maintenance and Other Operating Services,Utility Expenses,None,3184410,0,3184410,3586228,0,3586228,4059687,0,4059687,58
Department of National Defense (DND),Maintenance and Other Operating Services,Communication Expenses,None,687083,0,687083,781457,0,781457,958376,0,958376,58
Department of National Defense (DND),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,13219,0,13219,14259,0,14259,15795,0,15795,58
Department of National Defense (DND),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,19573,0,19573,21613,0,21613,12061,0,12061,58
Department of National Defense (DND),Maintenance and Other Operating Services,Demolition/Relocation and Desilting/Dredging Expenses,None,4357,0,4357,0,0,0,0,0,0,58
Department of National Defense (DND),Maintenance and Other Operating Services,Professional Services,None,573546,0,573546,544140,0,544140,2246221,0,2246221,58
Department of National Defense (DND),Maintenance and Other Operating Services,General Services,None,628872,0,628872,814975,0,814975,1007432,0,1007432,58
Department of National Defense (DND),Maintenance and Other Operating Services,Repairs and Maintenance,None,19705835,0,19705835,24920345,0,24920345,26933501,0,26933501,58
Department of National Defense (DND),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,4037457,0,4037457,3656249,0,3656249,4556531,0,4556531,58
Department of National Defense (DND),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,339184,10943741,11282925,261365,0,261365,295278,0,295278,58
Department of National Defense (DND),Maintenance and Other Operating Services,Labor and Wages,None,169732,0,169732,104148,0,104148,104399,0,104399,58
Department of National Defense (DND),Maintenance and Other Operating Services,Bank Charges,None,8,0,8,0,0,0,0,0,0,58
Department of National Defense (DND),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,7792,0,7792,6774,0,6774,6774,0,6774,58
Department of National Defense (DND),Maintenance and Other Operating Services,Intelligence Expenses,None,2902898,0,2902898,1761398,0,1761398,1777293,0,1777293,58
Department of National Defense (DND),Maintenance and Other Operating Services,Confidential Expenses,None,87000,0,87000,87000,0,87000,87000,0,87000,58
Department of National Defense (DND),Maintenance and Other Operating Services,Advertising Expenses,None,5551,0,5551,8744,0,8744,21833,0,21833,58
Department of National Defense (DND),Maintenance and Other Operating Services,Printing and Publication Expenses,None,47207,0,47207,65456,0,65456,93699,0,93699,58
Department of National Defense (DND),Maintenance and Other Operating Services,Representation Expenses,None,2281642,0,2281642,2202468,0,2202468,3020275,0,3020275,58
Department of National Defense (DND),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,33636,0,33636,86430,0,86430,90649,0,90649,58
Department of National Defense (DND),Maintenance and Other Operating Services,Rent/Lease Expenses,None,1260455,0,1260455,1220000,0,1220000,1738763,0,1738763,58
Department of National Defense (DND),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,1151,0,1151,1095,0,1095,1048,0,1048,58
Department of National Defense (DND),Maintenance and Other Operating Services,Subscription Expenses,None,622907,0,622907,967120,0,967120,1348977,0,1348977,58
Department of National Defense (DND),Maintenance and Other Operating Services,Donations,None,72911,0,72911,101676,0,101676,101678,0,101678,58
Department of National Defense (DND),Maintenance and Other Operating Services,Bank Transaction Fee,None,35,0,35,42,0,42,23,0,23,58
Department of National Defense (DND),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,279462,0,279462,769290,0,769290,792439,0,792439,58
Department of National Defense (DND),Capital Outlays,Land Outlay,None,1021,0,1021,270000,0,270000,1478481,0,1478481,59
Department of National Defense (DND),Capital Outlays,Land Improvements Outlay,None,344200,0,344200,75677,0,75677,169108,0,169108,59
Department of National Defense (DND),Capital Outlays,Infrastructure Outlay,None,264786,0,264786,930386,0,930386,1695536,0,1695536,59
Department of National Defense (DND),Capital Outlays,Buildings and Other Structures,None,5079130,0,5079130,6625392,0,6625392,8144623,0,8144623,59
Department of National Defense (DND),Capital Outlays,Machinery and Equipment Outlay,None,45132787,444436,45577223,15092432,3629700,18722132,25074657,3629700,28704357,59
Department of National Defense (DND),Capital Outlays,Transportation Equipment Outlay,None,2457842,0,2457842,5967570,0,5967570,6523404,0,6523404,59
Department of National Defense (DND),Capital Outlays,Furniture Fixtures and Books Outlay,None,20790,0,20790,7529,0,7529,36498,0,36498,59
Department of National Defense (DND),Capital Outlays,Heritage Assets,None,0,0,0,0,0,0,1818,0,1818,59
Department of National Defense (DND),Capital Outlays,Other Property Plant and Equipment Outlay,None,42365,0,42365,10850,0,10850,24000,0,24000,59
Department of National Defense (DND),Capital Outlays,Intangible Assets Outlay,None,10729,0,10729,0,0,0,0,0,0,59
Department of Public Works and Highways (DPWH),Salaries and other Lump-sums,Basic Salary,None,9382901,0,9382901,8866948,0,8866948,10551176,0,10551176,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Personnel Economic Relief Allowance,None,485992,0,485992,482328,0,482328,500976,0,500976,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Representation Allowance,None,40361,0,40361,42132,0,42132,43512,0,43512,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Transportation Allowance,None,10586,0,10586,39696,0,39696,41262,0,41262,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Clothing and Uniform Allowance,None,138261,0,138261,140679,0,140679,146118,0,146118,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Year End Bonus,None,786228,0,786228,738906,0,738906,879262,0,879262,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Mid-Year Bonus Civilian,None,757669,0,757669,738906,0,738906,879262,0,879262,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Cash Gift,None,102237,0,102237,100485,0,100485,104370,0,104370,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Productivity Enhancement Incentive,None,101070,0,101070,100485,0,100485,104370,0,104370,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Step Increment,None,0,0,0,22169,0,22169,26378,0,26378,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Performance Based Bonus,None,974,0,974,0,0,0,0,0,0,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Collective Negotiation Agreement,None,598182,0,598182,0,0,0,0,0,0,60
Department of Public Works and Highways (DPWH),Other Compensation for Specific Groups,Other Personnel Benefits,None,490617,0,490617,0,0,0,0,0,0,60
Department of Public Works and Highways (DPWH),Other Benefits,Retirement and Life Insurance Premiums,None,0,1121692,1121692,0,1064034,1064034,0,1266139,1266139,60
Department of Public Works and Highways (DPWH),Other Benefits,PAG-IBIG Contributions,None,44182,0,44182,48239,0,48239,50098,0,50098,60
Department of Public Works and Highways (DPWH),Other Benefits,PhilHealth Contributions,None,233691,0,233691,219775,0,219775,260067,0,260067,60
Department of Public Works and Highways (DPWH),Other Benefits,Employees Compensation Insurance Premiums,None,24433,0,24433,24124,0,24124,25050,0,25050,60
Department of Public Works and Highways (DPWH),Other Benefits,Terminal Leave,None,556048,0,556048,458845,0,458845,579387,0,579387,60
Department of Public Works and Highways (DPWH),Other Benefits,Loyalty Award Civilian,None,9325,0,9325,18665,0,18665,13177,0,13177,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Travelling Expenses,None,90203,55,90258,169933,0,169933,206912,800,207712,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,31216,5550,36766,106858,0,106858,124148,8527,132675,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,111952,570,112522,349448,0,349448,383849,800,384649,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Utility Expenses,None,81688,0,81688,330274,0,330274,362070,0,362070,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Communication Expenses,None,28384,0,28384,199424,0,199424,152042,150,152192,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Professional Services,None,38156,5785,43941,22593,0,22593,15033,25000,40033,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,General Services,None,166807,0,166807,193366,0,193366,235051,0,235051,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Repairs and Maintenance,None,14965111,8151,14973262,5020105,0,5020105,15947542,200,15947742,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,130303,236067,366370,144031,0,144031,157522,50,157572,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,5112,0,5112,8638,0,8638,9326,0,9326,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Advertising Expenses,None,521,0,521,3810,0,3810,4467,0,4467,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Printing and Publication Expenses,None,1372,278,1650,12340,0,12340,13305,800,14105,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Representation Expenses,None,246,0,246,3554,0,3554,3883,0,3883,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,562,0,562,22808,0,22808,23806,0,23806,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Rent/Lease Expenses,None,76086,0,76086,42788,0,42788,110211,700,110911,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,24,0,24,2173,0,2173,2327,0,2327,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Subscription Expenses,None,119664,0,119664,189351,0,189351,518417,0,518417,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,17880,274,18154,70366,37527,107893,101239,500,101739,61
Department of Public Works and Highways (DPWH),Capital Outlays,Infrastructure Outlay,None,1127600710,28200,1127628910,964309813,0,964309813,396824315,0,396824315,61
