Dept_Name,Agency_Name,Program_Category,2024_Actual,2025_Program,2026_GAA,Page_No
Other Executive Offices (OEOs),None,General_Overhead,6353919,7207862,7705047,1
Other Executive Offices (OEOs),None,Locally_Funded_Projects,42027650,48512982,63186484,1
Other Executive Offices (OEOs),None,Foreign_Assisted_Projects,9871614,9549183,11462721,1
Other Executive Offices (OEOs),None,Other_Projects,132649,0,36951,1
Other Executive Offices (OEOs),None,Total,58385832,65270027,82391203,1
The Judiciary (JUD),None,General_Overhead,16467987,25196914,25687682,1
The Judiciary (JUD),None,Locally_Funded_Projects,39227233,31135648,35447540,1
The Judiciary (JUD),None,Foreign_Assisted_Projects,5366415,7680338,9475647,1
The Judiciary (JUD),None,Total,61061635,64012900,70610869,1
Civil Service Commission (CSC),None,General_Overhead,1403250,1875054,1538876,1
Civil Service Commission (CSC),None,Locally_Funded_Projects,915690,965918,1085508,1
Civil Service Commission (CSC),None,Foreign_Assisted_Projects,136710,42257,43018,1
Civil Service Commission (CSC),None,Other_Projects,0,0,333810,1
Civil Service Commission (CSC),None,Total,2455650,2883229,3001212,1
Commission on Audit (COA),None,General_Overhead,7812902,6813240,7681800,1
Commission on Audit (COA),None,Locally_Funded_Projects,7373554,6804100,7929103,1
Commission on Audit (COA),None,Total,15186456,13617340,15610903,1
Commission on Elections (COMELEC),None,General_Overhead,1762022,1617065,1722881,1
Commission on Elections (COMELEC),None,Locally_Funded_Projects,6326880,3477813,3465523,1
Commission on Elections (COMELEC),None,Foreign_Assisted_Projects,22804026,30407793,15007909,1
Commission on Elections (COMELEC),None,Total,30892928,35502671,20196313,1
Office of the Ombudsman (OMB),None,General_Overhead,4180247,4156044,4508244,1
Office of the Ombudsman (OMB),None,Locally_Funded_Projects,1453501,1607110,1960247,1
Office of the Ombudsman (OMB),None,Foreign_Assisted_Projects,109000,109000,109000,1
Office of the Ombudsman (OMB),None,Total,5742748,5872154,6577491,1
Commission on Human Rights (CHR),None,General_Overhead,553894,648116,731167,1
Commission on Human Rights (CHR),None,Locally_Funded_Projects,515536,548156,681077,1
Commission on Human Rights (CHR),None,Foreign_Assisted_Projects,3320,0,0,1
Commission on Human Rights (CHR),None,Total,1072750,1196272,1412244,1
Budgetary Support to Government Corporations (BSGC),None,General_Overhead,34039634,0,0,3
Budgetary Support to Government Corporations (BSGC),None,Locally_Funded_Projects,154592615,0,0,3
Budgetary Support to Government Corporations (BSGC),None,Foreign_Assisted_Projects,49514069,21000000,39822355,3
Budgetary Support to Government Corporations (BSGC),None,Other_Projects,7581620,0,0,3
Budgetary Support to Government Corporations (BSGC),None,Total,245727938,21000000,39822355,3
Allocations to Local Government Units (ALGU),Fund ),Foreign_Assisted_Projects,0,13000000,13000000,3
Allocations to Local Government Units (ALGU),Fund ),Total,0,13000000,13000000,3
Contingent Fund,None,Foreign_Assisted_Projects,0,109127872,77047627,3
Contingent Fund,None,Total,0,109127872,77047627,3
Miscellaneous Personnel Benefits Fund,None,Foreign_Assisted_Projects,0,144724175,165518761,3
Miscellaneous Personnel Benefits Fund,None,Total,0,144724175,165518761,3
Pension and Gratuity Fund,None,Foreign_Assisted_Projects,0,35000000,40000000,3
Pension and Gratuity Fund,None,Total,0,35000000,40000000,3
Revised AFP Modernization Program,None,Foreign_Assisted_Projects,0,14500000,14500000,3
Revised AFP Modernization Program,None,Total,0,14500000,14500000,3
Customs duties and taxes including tax expenditures,None,General_Overhead,0,359204065,415905640,3
Customs duties and taxes including tax expenditures,None,Locally_Funded_Projects,0,3172739606,3262029996,3
Customs duties and taxes including tax expenditures,None,Foreign_Assisted_Projects,0,1851640746,2004498000,3
Customs duties and taxes including tax expenditures,None,Other_Projects,0,66009195,132028364,3
Customs duties and taxes including tax expenditures,None,Total,0,5449593612,5814462000,3
